area,type,BHK,sqft,price,unit
Chanakyapuri,Apartment,3,1845,93,L
Visalpur,Apartment,1,720,13.21,L
Hathijan,Apartment,3,1512,25.2,L
Narolgam,Apartment,3,1539,35.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,873,57.01,L
Kasindra,Villa,4,1755,55,L
Ghuma,Apartment,2,1305,41,L
Vatva,Villa,4,1761,80,L
Usman Pura,Apartment,3,1144,1.57,Cr
Gota,Independent House,4,4150,1.59,Cr
Ambli,Apartment,4,3938,2.45,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1683,54.19,L
Near Nirma University On SG Highway,Apartment,2,1290,44.9,L
Bopal,Apartment,3,2160,92.88,L
Nava Naroda,Apartment,2,1062,25,L
Changodar,Apartment,2,918,21.17,L
Vastrapur,Apartment,4,2727,1.81,Cr
Shilaj,Apartment,3,1512,55.44,L
Bopal,Apartment,3,1460,56,L
Chandkheda,Apartment,3,1440,45.6,L
Vastral,Apartment,2,1350,37.5,L
Gota,Apartment,2,1242,50,L
Chandkheda,Apartment,2,1170,51,L
Sanathal,Apartment,3,1750,50,L
Narolgam,Apartment,2,400,22,L
Sanand,Apartment,3,1750,60,L
Ghatlodiya,Apartment,2,1050,45,L
Mahadev Nagar,Independent Floor,2,800,31,L
New Ranip,Independent Floor,2,1150,35,L
Koteshwar,Apartment,2,1332,50,L
Ghatlodiya,Apartment,2,970,39,L
Thaltej,Apartment,4,7000,9,Cr
Nikol,Independent House,3,900,45,L
Maninagar,Apartment,4,2250,1.6,Cr
Ghatlodiya,Apartment,4,2700,1.5,Cr
Prahlad Nagar,Apartment,2,1236,48,L
Maninagar,Apartment,2,900,48,L
Nava Naroda,Villa,3,1500,90,L
Isanpur,Independent House,1,728,30,L
Ghatlodiya,Apartment,2,765,42,L
Paldi,Apartment,2,972,60,L
Bopal,Apartment,2,1080,45,L
Amraiwadi,Independent House,3,1620,90,L
Satyam Nagar,Independent House,3,810,27,L
Maninagar,Independent House,4,4500,2.81,Cr
Satellite,Apartment,3,1260,70,L
Naroda,Apartment,2,1100,26,L
Vastral,Villa,3,1035,85,L
Jodhpur,Apartment,3,1575,1.2,Cr
Jodhpur,Apartment,2,1035,38,L
Bopal,Apartment,2,1053,41,L
Navrangpura,Apartment,2,1800,70,L
Bodakdev,Apartment,3,1728,1,Cr
Shela,Apartment,3,1510,40.77,L
Naroda,Independent House,3,1350,95,L
Nikol,Apartment,2,936,28,L
Ambavadi,Apartment,4,3447,2.13,Cr
Prahlad Nagar,Apartment,2,1700,47,L
Nava Naroda,Apartment,2,1020,20.5,L
Maninagar,Apartment,2,855,43,L
Memnagar,Apartment,3,1509,1,Cr
Navrangpura,Apartment,2,1017,65,L
Memnagar,Apartment,3,2471,1.25,Cr
Thaltej,Apartment,3,1745,88.99,L
Thaltej,Apartment,3,1800,1.5,Cr
Bodakdev,Apartment,3,2000,80,L
Makarba,Apartment,4,2650,1.5,Cr
Vatva,Independent Floor,1,500,12,L
Satellite,Apartment,2,1035,42,L
Nikol,Apartment,2,1000,38,L
Sola,Apartment,2,1314,70.07,L
Odhav,Apartment,2,710,30,L
Jagatpur,Apartment,2,1272,49,L
Bodakdev,Apartment,3,3000,98,L
Ambavadi,Apartment,4,3265,2.21,Cr
Chandkheda,Apartment,2,945,34.99,L
Naroda,Independent House,4,1600,63,L
Bodakdev,Apartment,4,3280,2.13,Cr
Ellisbridge,Apartment,4,4275,3.3,Cr
Ellisbridge,Apartment,3,2349,1.5,Cr
Ghodsar,Apartment,2,852,30,L
Nikol,Apartment,2,1215,45,L
Lambha,Independent House,3,1660,36,L
Shahibuag,Villa,4,4050,5.5,Cr
Changodar,Villa,3,1440,33.69,L
Navrangpura,Apartment,2,1000,60,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,816,37.5,L
Kuha,Independent House,2,2610,43,L
Maninagar,Apartment,2,1070,61.14,L
Shela,Apartment,3,786,63.31,L
Sanand,Apartment,3,1440,29.5,L
Nikol,Villa,4,2160,1.05,Cr
Memnagar,Apartment,4,4500,3,Cr
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Motera,Apartment,2,1035,43,L
Sanand,Apartment,2,1215,20,L
Bodakdev,Apartment,3,1215,75,L
Chandkheda,Apartment,2,1233,57,L
Visalpur,Apartment,1,695,14.4,L
Visalpur,Apartment,2,1065,21.3,L
Hathijan,Apartment,3,1422,21.33,L
Hathijan,Apartment,2,1125,16.87,L
Narolgam,Apartment,2,1179,27,L
Narolgam,Apartment,2,1053,23.25,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1016,66.34,L
Near Vaishno Devi Circle On SG Highway,Apartment,2,691,45.7,L
Ghuma,Apartment,2,1171,37,L
Vatva,Villa,3,1087,55,L
Vatva,Villa,3,1168,55,L
Usman Pura,Apartment,3,1136,1.56,Cr
Bodakdev,Apartment,4,4760,3.8,Cr
Bodakdev,Apartment,5,5375,4.56,Cr
Ambavadi,Apartment,3,2160,1.29,Cr
Ambavadi,Apartment,3,2223,1.33,Cr
Ambavadi,Apartment,3,2097,1.25,Cr
Ambavadi,Apartment,3,2178,1.3,Cr
Bopal,Apartment,3,1920,82.56,L
Bopal,Apartment,3,1825,78.47,L
Bopal,Apartment,3,2030,87.29,L
Nava Naroda,Apartment,2,1062,25,L
Changodar,Apartment,1,639,14.93,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,3,1440,45.6,L
Chandkheda,Apartment,2,1170,37.6,L
Chandkheda,Apartment,2,1170,37.6,L
Vastral,Apartment,3,1755,48.75,L
Navrangpura,Apartment,4,3807,2.47,Cr
Gota,Apartment,3,1692,67,L
Bavla,Independent House,4,9000,1.35,Cr
Bavla,Independent House,2,1080,32.49,L
Bavla,Independent House,3,1800,52,L
Bavla,Independent House,1,720,22.99,L
Bavla,Independent House,4,4500,89.01,L
Bavla,Independent House,3,4500,81.99,L
Chandkheda,Apartment,3,2250,68.5,L
Sanand,Villa,3,2007,71,L
Shela,Apartment,2,999,39,L
Bopal,Apartment,2,1170,58,L
Bopal,Villa,2,1200,95,L
Bopal,Villa,2,1080,75,L
Shela,Apartment,1,624,28,L
Shela,Apartment,2,1285,42,L
Shela,Villa,4,3600,3.7,Cr
Shela,Villa,4,3600,4,Cr
Bopal,Apartment,2,1080,38,L
Bodakdev,Apartment,3,1980,1,Cr
Bopal,Apartment,5,4500,1.26,Cr
Bopal,Apartment,5,4500,1.26,Cr
Bopal,Apartment,2,1235,50,L
Vastrapur,Apartment,3,1665,1.02,Cr
Navrangpura,Apartment,3,1600,91,L
Navrangpura,Apartment,3,1600,91,L
Old Wadaj,Independent House,1,270,22,L
Shela,Apartment,2,1085,39.5,L
Shela,Apartment,3,1435,57,L
Vastrapur,Apartment,3,2230,1.21,Cr
Vastrapur,Apartment,4,3230,1.74,Cr
Bopal,Apartment,2,1154,54,L
Bopal,Apartment,2,1250,50,L
Bopal,Apartment,3,1450,55,L
Bodakdev,Apartment,2,1000,62,L
Bopal,Apartment,3,1440,43.2,L
Shela,Apartment,3,1700,48.19,L
Shela,Villa,4,4050,3,Cr
Sanathal,Villa,4,3600,1.7,Cr
Ambavadi,Apartment,4,2943,1.82,Cr
Vastrapur,Apartment,4,4400,3.05,Cr
Ambavadi,Apartment,3,2295,1.42,Cr
Thaltej,Apartment,3,1385,70.63,L
Thaltej,Apartment,3,1655,84.4,L
Thaltej,Apartment,3,1700,86.7,L
Thaltej,Apartment,3,1785,1.25,Cr
Thaltej,Apartment,3,2250,1.42,Cr
Bopal,Apartment,2,1300,60,L
Bopal,Apartment,3,2214,1.25,Cr
Bopal,Apartment,3,1430,69,L
Jodhpur Village,Apartment,3,2610,1.9,Cr
Jodhpur,Apartment,3,1845,1.35,Cr
Thaltej,Villa,3,2430,2.85,Cr
Bopal,Apartment,3,2214,1.25,Cr
Shela,Apartment,4,3538,1.6,Cr
Bopal,Apartment,3,1490,75,L
Bopal,Villa,4,3492,3.55,Cr
Gota,Apartment,3,1530,78,L
Gota,Apartment,3,1710,95,L
Thaltej,Villa,3,2790,2.95,Cr
Bopal,Apartment,3,1860,1.03,Cr
Satellite,Apartment,3,2133,1.7,Cr
Makarba,Apartment,2,1225,52,L
Makarba,Apartment,2,1225,52,L
Prahlad Nagar,Apartment,2,1320,75,L
Ambli,Villa,4,2205,3.5,Cr
Bopal,Apartment,3,1413,67,L
Palodia,Villa,10,14000,8.75,Cr
Near Nirma University On SG Highway,Apartment,3,2000,1.1,Cr
Jodhpur,Apartment,3,1575,1.17,Cr
Sola,Apartment,2,1458,77.75,L
Sola,Apartment,2,1314,70.07,L
Sola,Apartment,2,1458,77.75,L
Sola,Apartment,3,1890,1,Cr
Sola,Apartment,3,1890,1,Cr
Sola,Apartment,3,1953,1.04,Cr
Odhav,Apartment,2,710,30,L
Odhav,Apartment,2,710,30,L
Odhav,Apartment,2,710,30,L
Vastrapur,Apartment,2,2000,43,L
Vastrapur,Apartment,2,2000,42,L
Vastrapur,Apartment,3,2500,1.21,Cr
Ambavadi,Apartment,4,3150,2.14,Cr
Bodakdev,Apartment,2,3000,55,L
Jodhpur,Apartment,2,2500,55,L
Vastrapur,Apartment,2,2000,45,L
Vastrapur,Apartment,3,3000,65,L
Vastrapur,Apartment,1,1000,29,L
Vastrapur,Apartment,2,2000,45,L
Bodakdev,Apartment,3,2000,1,Cr
Changodar,Villa,3,1179,34.13,L
Changodar,Villa,3,1080,30.38,L
Changodar,Villa,2,1305,32.18,L
Changodar,Villa,2,1206,31.25,L
Changodar,Villa,2,840,23.66,L
Changodar,Villa,3,1656,44.01,L
Shahpur,Independent House,4,1000,1.2,Cr
Kuha,Independent House,3,2871,51,L
Kuha,Independent House,4,3708,60,L
Maninagar,Apartment,3,1300,72,L
Maninagar,Apartment,2,1050,58,L
Shela,Apartment,2,630,50.78,L
Shela,Apartment,3,789,63.57,L
Shela,Apartment,3,789,63.57,L
Shela,Apartment,3,1507,1.32,Cr
Shela,Apartment,4,1810,1.58,Cr
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,1,765,19.25,L
Sanand,Apartment,3,1440,29.5,L
Sanand,Apartment,2,1170,23.5,L
Sanand,Apartment,2,1170,23.5,L
Nikol,Apartment,2,1215,48,L
Nikol,Apartment,2,2830,48,L
Motera,Apartment,2,1204,43,L
Chandkheda,Apartment,2,1140,47.99,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Ghuma,Villa,4,2250,84,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Ghuma,Villa,4,2250,84,L
Maninagar,Apartment,1,850,20,L
Maninagar,Apartment,1,850,22,L
Khodiyar,Apartment,3,1440,48,L
Bapunagar,Independent House,2,1200,45,L
Odhav,Independent House,5,2700,1,Cr
Navrangpura,Apartment,3,2100,1.25,Cr
Motera,Apartment,2,1225,39,L
Motera,Apartment,2,1204,43,L
Vastral,Apartment,2,1107,28.5,L
Maninagar,Apartment,3,1250,70,L
Maninagar,Apartment,3,1250,75,L
Naroda,Apartment,3,1460,45,L
Chanakyapuri,Apartment,2,945,37.5,L
Navrangpura,Apartment,3,2100,1.25,Cr
Motera,Apartment,2,1125,42,L
Thaltej,Apartment,3,1845,1.41,Cr
Motera,Villa,4,2700,2.1,Cr
Chandkheda,Apartment,2,1026,35,L
Bhat,Villa,4,3069,2.6,Cr
Chandkheda,Independent House,5,1800,1.65,Cr
Motera,Independent House,4,2610,1.85,Cr
Motera,Apartment,3,1845,65,L
Koteshwar,Apartment,3,1800,85,L
Motera,Apartment,3,1855,65,L
Chandkheda,Villa,4,2200,1.55,Cr
Motera,Villa,4,2000,1.7,Cr
Chandkheda,Villa,4,2000,1.65,Cr
Chandkheda,Villa,4,2000,1.5,Cr
Chandkheda,Villa,4,2500,1.85,Cr
Motera,Apartment,2,1080,58,L
Chandkheda,Villa,4,3015,2.25,Cr
Koteshwar,Apartment,3,2142,1,Cr
Motera,Apartment,3,1611,60,L
Motera,Apartment,3,2025,1.2,Cr
Motera,Villa,5,2157,1.7,Cr
Motera,Apartment,2,1341,44.8,L
Navrangpura,Independent House,6,4500,5,Cr
Navrangpura,Independent House,6,2790,4.34,Cr
Navrangpura,Independent House,5,4950,3.5,Cr
Navrangpura,Independent House,5,4050,2.71,Cr
Gulbai Tekra,Independent House,4,1800,4,Cr
Ambavadi,Independent House,4,2790,3.5,Cr
Navrangpura,Independent House,3,4500,5,Cr
Ambavadi,Independent House,3,1620,4.7,Cr
Ambavadi,Independent House,3,1190,3.5,Cr
Navrangpura,Independent House,2,1890,2.55,Cr
Gota,Apartment,1,640,26.5,L
Nava Naroda,Villa,3,2100,75,L
Satellite,Apartment,3,2610,1.4,Cr
Jodhpur,Apartment,3,1575,1.2,Cr
Bodakdev,Independent House,4,3645,5,Cr
Jodhpur Village,Apartment,3,1575,1.05,Cr
Satellite,Apartment,3,2025,1,Cr
Jodhpur,Apartment,3,1890,1.3,Cr
Satellite,Apartment,3,1831,99,L
Jodhpur Village,Apartment,4,2475,1.5,Cr
Prahlad Nagar,Apartment,3,2050,1.5,Cr
Navrangpura,Apartment,3,1935,1.3,Cr
Navrangpura,Apartment,3,1800,1.21,Cr
Navrangpura,Apartment,3,1485,75,L
Navrangpura,Apartment,3,1250,82,L
Navrangpura,Apartment,3,1850,65,L
Ambavadi,Apartment,2,1950,60,L
Navrangpura,Apartment,3,1600,86,L
Navrangpura,Apartment,3,1950,1.55,Cr
Thaltej,Apartment,3,1845,1.4,Cr
Thaltej,Apartment,4,2650,2.25,Cr
Thaltej,Apartment,3,1845,1.44,Cr
Nikol,Apartment,1,765,19,L
Nava Naroda,Villa,4,2520,2.2,Cr
Nikol,Villa,3,1300,1.25,Cr
Naranpuraa,Apartment,3,1170,75,L
Naranpuraa,Independent House,3,1980,2,Cr
Naranpuraa,Independent House,3,1395,1.65,Cr
Naranpuraa,Independent House,3,1080,76.99,L
Naranpuraa,Apartment,2,1260,75,L
Nava Naroda,Villa,3,1400,85,L
Nikol,Villa,4,2750,1.65,Cr
Nava Naroda,Villa,4,2950,2.2,Cr
Nikol,Apartment,3,2160,75,L
Nikol,Apartment,3,1404,95,L
Nikol,Apartment,2,1233,30,L
Nikol,Villa,3,1400,1.6,Cr
Nikol,Villa,3,1350,1.25,Cr
Nikol,Villa,3,2300,1.6,Cr
Nikol,Villa,4,2250,1.7,Cr
Nikol,Villa,5,2350,1.35,Cr
Nikol,Villa,3,1260,1.11,Cr
Nikol,Villa,4,2925,2.3,Cr
Nikol,Villa,4,3200,4.25,Cr
Nikol,Villa,4,1850,90,L
Navrangpura,Apartment,3,1650,70,L
Navrangpura,Apartment,3,1800,61,L
Naranpuraa,Independent House,4,1800,1.8,Cr
Naranpuraa,Independent House,2,1800,2.5,Cr
Naranpuraa,Independent House,5,1530,2.49,Cr
Naranpuraa,Independent House,4,3825,4,Cr
Naranpuraa,Independent House,3,3005,3,Cr
Navrangpura,Apartment,3,1650,70,L
Navrangpura,Apartment,3,1800,61,L
Naranpuraa,Independent House,4,1800,1.8,Cr
Naranpuraa,Independent House,2,1800,2.5,Cr
Nava Naroda,Villa,5,9000,1.85,Cr
Nikol,Apartment,3,2250,85,L
Nikol,Apartment,4,3348,1.35,Cr
Nikol,Villa,4,2250,1.75,Cr
Nikol,Villa,3,2250,1.7,Cr
Nava Naroda,Villa,4,2200,1.9,Cr
Nikol,Apartment,2,1242,38,L
Nava Naroda,Villa,5,4050,3.6,Cr
Nikol,Apartment,6,6030,3,Cr
Nikol,Apartment,6,6030,3,Cr
Near Nirma University On SG Highway,Apartment,4,2211,98,L
Nikol,Apartment,3,1500,95,L
Nava Naroda,Villa,4,4400,3.6,Cr
Nikol,Apartment,2,1260,40,L
Nikol,Villa,3,1500,1.25,Cr
Chandkheda,Apartment,2,1305,47,L
Vastrapur,Apartment,2,945,52,L
Vastrapur,Apartment,3,1815,1.36,Cr
Vastrapur,Apartment,3,1885,1.4,Cr
Vastrapur,Apartment,4,2415,1.76,Cr
Lambha,Villa,3,1169,36.5,L
Nikol,Villa,4,3000,3.5,Cr
Sanand,Villa,4,3105,1.16,Cr
Sanand,Independent House,3,1854,54.5,L
Sanand,Villa,4,2286,69.99,L
Ghuma,Apartment,3,775,58,L
Ghuma,Apartment,2,712,54,L
Near Nirma University On SG Highway,Apartment,2,1100,42,L
Shilaj,Apartment,3,950,61.99,L
Near Nirma University On SG Highway,Apartment,2,635,48,L
Chandkheda,Apartment,3,1500,90,L
Motera,Apartment,3,1174,99.59,L
Motera,Apartment,4,2597,2.2,Cr
Motera,Apartment,4,1959,1.66,Cr
Motera,Apartment,4,2592,2.19,Cr
Motera,Apartment,4,1952,1.65,Cr
Motera,Apartment,4,1578,1.33,Cr
Motera,Apartment,4,1576,1.33,Cr
Motera,Apartment,3,1167,98.99,L
Motera,Apartment,3,1170,99.25,L
Bhat,Apartment,3,1191,92.4,L
Bhat,Apartment,4,1796,1.47,Cr
Sanand,Villa,4,3069,1.09,Cr
Sanand,Villa,4,3519,1.41,Cr
Shela,Apartment,2,950,42,L
Chandkheda,Apartment,2,1440,47,L
Gota,Apartment,3,1629,75,L
Bhadaj,Apartment,3,1530,61.9,L
Shela,Apartment,2,1085,39.5,L
Narolgam,Apartment,3,1395,80,L
Vejalpur,Apartment,1,525,25,L
Jodhpur,Apartment,3,1650,95,L
Jodhpur,Apartment,2,1125,65,L
Jodhpur,Villa,4,2000,2.6,Cr
Jodhpur,Apartment,3,1650,85,L
Prahlad Nagar,Apartment,2,1150,60,L
Juhapura,Apartment,2,1080,25,L
Satellite,Villa,4,2250,3.25,Cr
Near Nirma University On SG Highway,Apartment,3,1908,1.15,Cr
Science City,Apartment,2,1305,87,L
Sola,Apartment,2,1314,72.09,L
Gota,Apartment,3,1710,68,L
Science City,Apartment,2,1413,90,L
Near Nirma University On SG Highway,Apartment,3,1602,75,L
Kasindra,Villa,4,5462,77.83,L
Kasindra,Villa,5,6894,1.04,Cr
Kasindra,Villa,3,4894,69.73,L
Vastrapur,Apartment,3,1665,1.2,Cr
Khodiyar,Apartment,2,1110,59,L
Gota,Apartment,3,1440,70,L
Bodakdev,Apartment,3,1440,60,L
Satellite,Apartment,2,1080,50,L
Bopal,Apartment,3,1473,64.51,L
Bopal,Apartment,3,1473,64.51,L
Bopal,Apartment,3,1481,64.86,L
Bopal,Apartment,3,1481,64.86,L
Shela,Apartment,3,1435,68,L
Bopal,Apartment,2,1215,53.51,L
Bodakdev,Apartment,3,1341,90,L
Shela,Independent House,4,2340,2.35,Cr
Thaltej,Independent House,4,3600,4.9,Cr
Shilaj,Independent House,4,2745,2.85,Cr
Shilaj,Independent House,4,5400,5.11,Cr
Thaltej,Independent House,4,1800,2.5,Cr
Ambli,Apartment,4,3800,3.5,Cr
Thaltej,Independent House,4,2700,2.5,Cr
Ambli,Independent House,5,7722,4,Cr
Bopal,Independent House,5,6750,3.75,Cr
Thaltej,Independent House,3,4250,3.5,Cr
Bodakdev,Apartment,4,3272,2.02,Cr
Thaltej,Apartment,3,2205,1.55,Cr
Thaltej,Villa,4,3825,4.5,Cr
Thaltej,Apartment,4,2514,1.7,Cr
Thaltej,Apartment,4,2799,2.25,Cr
Bodakdev,Apartment,4,3967,3.17,Cr
Satellite,Apartment,4,3080,3.51,Cr
Satellite,Apartment,4,3080,3.51,Cr
Vastrapur,Apartment,3,1845,1.2,Cr
Thaltej,Apartment,3,1655,1.05,Cr
Near Nirma University On SG Highway,Apartment,3,1850,75,L
Near Nirma University On SG Highway,Apartment,3,1980,85,L
Thaltej,Villa,4,3015,2.5,Cr
Thaltej,Apartment,3,1730,87,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1850,82,L
Shela,Apartment,3,2041,72,L
Shela,Apartment,3,2598,1.14,Cr
Shela,Apartment,4,3538,1.66,Cr
Shilaj,Apartment,4,4275,2.5,Cr
Thaltej,Apartment,3,1845,1.45,Cr
Thaltej,Apartment,3,1845,1.45,Cr
Thaltej,Apartment,4,2410,2,Cr
Thaltej,Apartment,4,2666,2.4,Cr
Vastrapur,Apartment,4,3330,2.8,Cr
Bodakdev,Apartment,4,2475,1.85,Cr
Bodakdev,Apartment,4,2700,2,Cr
Bopal,Apartment,4,2775,1.7,Cr
Shilaj,Apartment,3,2547,1.77,Cr
Bopal,Apartment,3,1545,95,L
Bopal,Apartment,3,1692,83,L
Thaltej,Apartment,3,1882,1.35,Cr
Bopal,Apartment,3,2025,89,L
Bopal,Apartment,3,1100,89.7,L
Bopal,Apartment,3,2115,1.05,Cr
Bopal,Apartment,4,2475,1.65,Cr
Bopal,Apartment,3,2214,1.18,Cr
Shela,Apartment,4,2460,1.3,Cr
Vastrapur,Apartment,4,3967,2.97,Cr
Thaltej,Villa,4,3600,3.35,Cr
Bodakdev,Apartment,3,1809,1.42,Cr
Shela,Apartment,3,1876,1.05,Cr
Bodakdev,Apartment,4,2700,1.95,Cr
Bopal,Apartment,3,1548,75,L
Ambli,Apartment,4,5880,5.4,Cr
Memnagar,Apartment,3,2394,2.35,Cr
